|San Diego|US
Helsinki Institute for Information Technology HIIT / Aalto University|Espoo|Finland
"Helsinki Institute for Information Technology HIIT, University of Helsinki|Helsinki|Finland"
Helsinki Institute for Information Technology|Helsinki|Finland
Helsinki University|Helsinki|Finland
Helwan|Cairo|Egypt
Heriot-Watt University|Edinburgh|UK
Hewlett Packard|Bangalore|India
Hewlett Packard|Palo Alto|US
Hewlett-Packard Laboratories|Bangalore|India
Hokkaido University|Sapporo|Japan
Holland Bloorview Kids Rehabilitation Hospital|Toronto|Canada
"Honda Research Institute Japan Co., Ltd.|Wako|Japan"
Honda Research Institute USA|new york|US
Honkalampi foundation|Joensuu|Finland
Horizon Doctoral Training Centre|Nottingham|UK
Horizon Hub|Nottingham|UK
Hosptial for Sick Children|Toronto|Canada
HP Labs|Palo Alto|US
HP|Palo Alto|US
HTW Berlin|Berlin|Germany
Huazhong Univ. of Science & Technology|Wuhan|China
Human Computer Interaction Institute|Pittsburgh|US
"Human Interaction Project, NTT Service Evolution Laboratories, Yokosuka, Kanagawa|Yokosuka|Japan"
"Human Interaction Project, NTT Service Evolution Laboratories|Yokosuka|Japan"
Human-Computer Interaction Institute|Pittsburgh|US
Human-Computer Interaction Lab|College Park|US
"Human-Computer Interaction, University of California|Santa Cruz|US"
Humboldt Institute for Internet and Society|Berlin|Germany
Hunan University|Changsha|China
Ibaraki University|Mito|Japan
IBBT-KU Leuven|Leuven|Belgium
IBBT-SMIT/VUB|Brussels|Belgium
IBBT|Ghent|Belgium
IBM Almaden Research Center|San Jose|US
IBM CIO's Office|Cambridge|US
IBM Japan Ltd.|Osaka|Japan
IBM Research - Tokyo|Tokyo|Japan
IBM Research Lab|New Delhi|India
IBM Research|Bangalore|India
IBM Research|Cambridge|US
IBM Research|Haifa|Israel
IBM Research|Hawthorne|US
IBM Research|New Delhi|India
IBM Research|San Jose|US
IBM Research|Sao Paulo|Brazil
IBM Research|Yorktown Heights|US
IBM Silicon Valley Lab|San Jose|US
IBM Software Group|Boca Raton|US
IBM Software Group|Cambridge|US
IBM Software Group|Durham|US
IBM T.J. Watson Research Center|Hawthorne|US
IBM T.J. Watson Research Center|Yorktown Heights|US
IBM T.J. Watson Research|Cambridge|US
IBM|Armonk|US
IBM|Boca Raton|US
IBM|Buenos Aires|Argentina
IBM|Cambridge|US
IBM|Haifa|Israel
IBM|Littleton|US
IBM|Pescadero|US
"ICT&S Center, University of Salzburg|Salzburg|Austria"
"ID-StudioLab, Delft University of Technology|Delft|The Netherlands"
Idaho National Laboratory|Idaho Falls|US
Idiap Research Institute|Martigny|Switzerland
"IEEE, Bangladesh Section|Dhaka|Bangladesh"
IIIT Hyderabad|Hyderabad|India
IIT|Kampur|India
Illinois Institute of Technology (IIT)|Chicago|US
Imperial College London|London|UK
Incaa Designs|Winslow|US
