UI Wizards, Inc	San Francisco	US
NMSU	Las cruces	US
SAP Research, SAP AG	Dresden	Germany
Czestochowa University of Technology	Czestochowa	Poland
Facebook, Inc.	Menlo Park	US
Blekinge Institute of Technology	Karlskrona	Sweden
National ICT Australia	Sydney	Australia
Universitat Pompeu Fabra	Barcelona	Spain
Arizona State University	Tempe	US
Suita	Osaka	Japan
VTT Technical Research Centre of Finland	Oulu	Finland
Future University Hakodate	Hakodate	Japan
Lorraine University	Metz	France
Hanyang University	Seoul	Korea
Rhodes University	Grahamstown	South Africa
Next Co., Ltd.	Tokyo	Japan
Copenhagen Business School	Frederiksberg	Denmark
CNRS LTCI UMR 5141	Paris	France
Northeastern Illinois University	Chicago	US
Northeastern University	Shenyang	China
Technology and Social Behavior	Evanston	US
CNES	Toulouse	France
Pomona College	Claremont	US
University of Bath	Bath	UK
University of Waikato	Hamilton	New Zealand
University of Cyprus	Nicosia	Cyprus
Georgia Institute of Technology	Atlanta	US
Oregon State University	Corvallis	US
University of Manchester	Manchester	UK
Yahoo! Research	San Francisco	US
University of Hamburg	Hamburg	Germany
Kent State University	Kent	US
UC Irvine	Irvine	US
Xi'an Jiaotong-Liverpool University	Suzhou	China
Stockholm University	Kista	Sweden
UCF	Orlando	US
Interaction Foundry	New York	US
University of Tallinn	Tallinn	Estonia
Kingston University	Kingston	Canada
Sino-European Usability Center	Dalian	China
Saitama University	Saitama	Japan
AT&T Foundry	Palo Alto	US
University of East Anglia	Norwich	UK
University of Kaiserslautern	Kaiserslautern	Germany
University Toulouse 3 & CNRS	Toulouse	France
UC San Diego	La Jolla	US
Aix Marseille University	Aix Marseille	France
National Taiwan University of Science and Technology	Taipei	Taiwan
Hewlett Packard	Bangalore	India
Kochi University of Technology	Kami	Japan
Intel Collaborative Research Institute for Sustainable Cities	London	UK
UXLabs	London	UK
Seattle Cancer Care Alliance	Seattle	US
Motorola Mobility Inc.	Libertyville	US
Design Lab, University of Sydney	Sydney	Australia
Digital Solutions	Billund	Denmark
ENIG	gabes	Tunisia
University of Southampton	Southampton	UK
University of Toronto	Toronto	Canada
Universitat Politecnica de Valencia	Valencia	Spain
PayPal	Austin	US
Visualization and Interactive Systems Institute; University of Stuttgart	Stuttgart	Germany
Aarhus University	Aarhus	Denmark
Xerox Innovation Group	Grenoble	France
Keio-NUS CUTE center	Singapore	Singapore
Korea University	Seoul	Republic of Korea
Stony Brook University	Stony Brook	US
Hanyang university	Seoul	Korea
CNR-ISTI	Pisa	Italy
University of Lisbon	Lisbon	Portugal
University of Michigan	Ann Arbor	US
University of Patras	Patras	Greece
Cornell University	Ithaca	US
JHT Incorporated	Orlando	US
The University of Tokyo	Tokyo	Japan
Fraunhofer IESE	Kaiserslautern	Germany
New York Institute of Technology	New York	US
TERC	Cambridge	US
Center for Internet Excellence (CIE)	Oulu	Finland
Portland State University	Portland	US
