Institute,City,Country
University of Luxembourg,Luxembourg-Kirchberg,Luxembourg
"University of California, Berkeley",Berkeley,United states
The Pennsylvania State University,University Park,US
Aalto University,Helsinki,Finland
CNRS,Grenoble,France
3M Company,Austin,US
"Indiana University, Bloomington","Bloomington, IN",US
Birzeit University,Birzeit,Israel
University Pompeu Fabra,Barcelona,Spain
"GREPS, University of Lyon, University Lyon 2",Bron,France
University of Nottingham,Nottingham,Enagland
TU Berlin,Berlin,Germany
University of Padova,Padova,Italy
"School of Information Science and Engineering, University of Jinan, China",JiNan,China
Joanneum Research,Graz,Austria
Northeastern University,Boston,US
Citrix Systems,Santa Clara,US
UFRGS,Porto Alegre,Brazil
University of Duisburg-Essen,Essen,Germany
Otto-von-Guericke-University Magdeburg,Magdeburg,Germany
"University of Lyon, LIRIS",Villeurbanne F-69621,France
Cryptography and Computer Algebra,Darmstadt,Germany
University of Minnesota,Minneapolis,US
Valdosta State University,Valdosta,US
"Institute for Information Systems, University of Siegen",Siegen,Germany
University of Magdeburg,Magdeburg,Germany
Eindhoven University of Technology,Eindhoven,The Netherlands
Samsung DTL lab,Richardson,US
"IRIT, University Paul Sabatier, Toulouse III",Toulouse,France
"University of Strathclyde, UK",Glasgow,UK
Energy Design,Eskilstuna,Sweden
Galileo University,Guatemala City,Guatemala
IBM T.J. Watson Research Center,Hawthorne,US
Indiana University,Blooomington,US
Nokia Research Center,Tampere,Finland
Intel,Santa Clara,US
NHTV Breda University of Applied Sciences,Breda,The Netherlands
SAP AG,Darmstadt,Germany
The University of Electro Communication,Chofu,Japan
University,Siegen,Germany
"National University of Ireland, Galway",Galway,Ireland
"Facebook, Inc.",Palo Alto,US
Temasek Polytechnic,Singapore,Singapore
"Shenzhen Institute of Advanced Technology, CAS",Shenzhen,China
University of York,York,UK
University College Falmouth,Penryn,UK
university of Glasgow,Glasgow,UK
Louvain Interaction Laboratory,Louvain La Neuve,Belgium
Pohang University of Science and Technology (POSTECH),Pohang,Republic of Korea
Fidelity Investments,Boston,US
PUCRS,Porto Alegre,Brazil
AmbieSense Ltd,Aberdeen,UK
University of South Carolina,Columbia,US
University of Surrey,Guildford,UK
Xerox Research Centre Europe,Grenoble,France
LinkedIn,Mountain View,US
University of Oulu,Oulu,Finland
Virginia Polytechnic Institute and State University (Virginia Tech),Blacksburg,US
DNP Information Systems,Shinjuku,Japan
Univ Paris-Sud,Orsay,France
"HCII, Carnegie Mellon University",Pittsbugh,US
New England Wildflower Society,Framingham,US
Banque Privee Edmond de Rothschild,Geneva,Switzerland
University of Bristol,Bristol,UK
Cornell University,Ithaca,US
National University of Singapore (NUS),Singapore,Singapore
Xerox Research Center Europe,Grenoble,France
TEchnosite,Madrid,Spain
The Open University,Milton Keynes,UK
